date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
20060107,33,27,8,30,7,48
20060107,22,47,44,33,46,43
20060104,49,5,36,16,14,38
20060104,15,42,27,44,35,34
20051231,42,37,33,24,36,1
20051231,31,49,48,26,36,14
20051228,13,22,3,21,11,29
20051228,17,40,5,31,43,32
20051224,14,40,25,13,49,4
20051224,33,5,48,27,12,25
20051221,22,29,34,28,48,35
20051221,40,7,6,32,10,11
20051217,13,29,23,2,8,3
20051217,8,31,25,34,39,23
20051214,10,14,23,22,42,17
20051214,7,36,12,10,8,2
20051210,3,7,2,28,37,6
20051210,7,34,26,17,2,48
20051207,11,37,28,16,46,29
20051207,27,9,20,7,5,3
20051203,32,46,30,43,44,16
20051203,19,40,8,26,25,36
20051130,41,11,49,48,10,16
20051130,38,32,34,23,25,37
20051126,8,3,49,48,29,38
20051126,48,5,39,21,35,19
20051123,19,34,16,37,41,38
20051123,47,20,8,28,21,4
20051119,34,9,4,6,24,19
20051119,25,11,12,44,13,33
20051116,4,1,16,36,19,44
20051116,13,31,23,42,26,37
20051112,47,3,14,21,6,17
20051112,1,13,45,29,20,18
20051109,45,49,43,4,39,47
20051109,2,5,42,49,3,41
20051105,20,43,21,7,13,40
20051105,4,42,25,17,26,28
20051102,43,38,17,19,14,31
20051102,43,20,40,16,26,45
20051029,31,13,23,24,8,37
20051029,33,9,43,8,4,28
20051026,37,38,29,33,9,40
20051026,32,49,21,14,1,24
20051022,4,34,20,38,11,41
20051022,44,15,27,7,28,30
20051019,37,38,24,20,32,7
20051019,34,22,25,45,18,26
20051015,16,45,2,31,38,48
20051015,25,20,23,21,39,43
20051012,20,18,8,27,16,3
20051012,1,6,27,26,34,20
20051008,48,30,34,13,45,18
20051008,37,21,29,40,11,22
20051005,20,3,29,18,5,2
20051005,39,1,25,19,6,8
20051001,20,24,47,22,25,23
20051001,2,37,39,23,40,35
20050928,33,42,36,18,16,22
20050928,3,27,5,8,10,19
20050924,15,17,24,4,25,39
20050924,21,41,4,10,42,49
20050921,9,26,14,31,46,10
20050921,1,23,13,16,5,26
20050917,16,20,10,45,26,22
20050917,29,20,6,21,11,40
20050914,39,46,16,5,1,40
20050914,17,49,5,1,31,4
20050910,4,2,8,11,5,28
20050910,11,3,26,35,42,5
20050907,12,20,37,29,33,4
20050907,8,12,46,18,44,7
20050903,19,9,29,36,43,45
20050903,1,22,24,25,12,47
20050831,11,29,18,48,10,25
20050831,47,15,40,43,33,23
20050827,14,7,28,8,19,16
20050827,30,33,15,29,44,18
20050824,31,10,41,35,38,45
20050824,23,29,43,11,49,15
20050820,7,20,35,47,5,1
20050820,24,4,22,16,2,25
20050817,24,42,28,35,9,34
20050817,28,39,35,12,13,4
20050813,16,19,12,8,21,3
20050813,28,4,1,13,30,45
20050810,18,44,5,25,28,26
20050810,29,17,3,20,16,6
20050806,19,1,47,32,24,2
20050806,4,13,12,49,42,5
20050803,9,20,49,4,32,28
20050803,6,42,2,20,29,5
20050730,33,24,32,31,7,25
20050730,9,18,11,19,47,32
20050727,29,45,5,28,6,40
20050727,4,28,26,23,16,14
20050723,8,45,44,21,25,16
20050723,13,27,5,32,29,8
20050720,14,10,48,38,7,46
20050720,38,2,13,39,40,22
20050716,39,27,43,29,35,12
20050716,7,12,31,26,1,15
20050713,22,29,30,49,20,41
20050713,40,44,49,7,32,39
20050709,34,9,5,4,18,32
20050709,37,30,5,2,24,18
20050706,47,44,40,1,25,26
20050706,13,46,17,29,49,18
20050702,41,34,46,17,22,12
20050702,12,20,17,33,23,16
20050629,24,39,31,14,16,29
20050629,24,37,43,9,14,45
20050625,20,8,29,12,7,15
20050625,15,21,29,16,3,44
20050622,28,46,48,14,9,41
20050622,43,11,40,17,29,30
20050618,41,11,38,19,1,37
20050618,30,49,34,10,42,18
20050615,42,45,17,33,23,3
20050615,2,22,37,36,9,29
20050611,48,27,10,17,41,7
20050611,30,33,35,34,43,8
20050608,10,22,35,41,39,24
20050608,41,26,6,5,13,48
20050604,3,32,4,17,37,6
20050604,10,19,23,14,48,30
20050601,16,23,48,38,41,8
20050601,15,34,30,39,8,11
20050528,11,39,1,14,36,48
20050528,19,17,10,16,46,15
20050525,8,6,14,12,22,37
20050525,15,5,22,3,8,17
20050521,5,41,12,29,2,23
20050521,11,37,16,34,13,9
20050518,44,47,3,41,13,7
20050518,27,4,8,18,29,3
20050514,11,13,41,7,25,44
20050514,8,1,37,36,2,33
20050511,16,38,41,11,7,39
20050511,17,27,35,36,7,39
20050507,32,7,3,16,29,39
20050507,14,16,33,24,40,11
20050504,45,9,46,27,36,10
20050504,10,18,29,37,24,31
20050430,36,32,9,22,39,33
20050430,2,41,6,36,12,27
20050427,3,38,36,5,23,25
20050427,23,26,5,32,14,45
20050423,24,15,11,27,14,13
20050423,23,4,5,21,11,27
20050420,25,45,15,37,18,24
20050420,44,37,4,19,1,47
20050416,27,37,17,46,45,30
20050416,47,3,16,15,36,6
20050413,34,42,41,38,40,14
20050413,13,6,19,20,3,45
20050409,26,36,45,37,18,47
20050409,9,14,27,2,36,20
20050406,5,20,4,35,46,12
20050406,47,45,40,36,25,1
20050402,3,27,1,21,13,4
20050402,31,2,21,18,42,15
20050330,19,5,41,23,43,20
20050330,24,35,22,31,10,28
20050326,31,47,49,2,15,45
20050326,45,41,40,32,9,4
20050323,35,27,42,9,8,45
20050323,34,40,49,38,45,47
20050319,6,30,38,20,21,18
20050319,37,28,11,8,5,48
20050316,40,14,47,35,32,5
20050316,8,12,17,26,5,40
20050312,27,42,16,48,39,7
20050312,26,25,11,16,6,36
20050309,17,39,32,12,42,6
20050309,34,31,45,42,33,28
20050305,10,8,40,44,48,9
20050305,24,25,9,47,43,36
20050302,39,42,16,26,46,48
20050302,4,34,8,21,30,17
20050226,3,25,15,34,27,28
20050226,47,29,48,1,27,49
20050223,35,40,15,14,33,46
20050223,23,36,28,16,22,39
20050219,27,26,23,7,38,9
20050219,19,12,47,1,11,33
20050216,4,1,31,8,6,5
20050216,24,48,8,38,30,1
20050212,14,3,26,9,23,34
20050212,4,31,20,36,7,37
20050209,38,46,33,8,1,31
20050209,49,23,33,44,26,34
20050205,35,41,23,5,22,30
20050205,27,13,49,18,44,24
20050202,41,34,18,48,6,45
20050202,4,35,45,13,15,2
20050129,4,43,40,29,38,21
20050129,33,21,19,13,1,15
20050126,4,16,11,33,41,6
20050126,19,8,36,24,28,46
20050122,36,35,15,24,19,45
20050122,26,18,23,40,31,32
20050119,39,7,41,26,16,34
20050119,35,25,1,11,41,45
20050115,28,46,42,39,31,3
20050115,16,11,19,6,4,15
20050112,2,47,39,27,37,49
20050112,27,39,1,35,14,26
20050108,37,23,35,40,48,38
20050108,9,13,14,28,7,3
20050105,46,18,25,13,45,37
20050105,49,33,36,43,25,48
20050101,3,6,31,39,44,16
20050101,46,32,34,31,30,22
20041229,37,40,22,9,42,34
20041229,33,32,25,11,43,30
20041225,8,41,20,38,24,6
20041225,42,32,20,10,41,19
20041222,15,30,45,46,18,31
20041222,16,22,33,8,2,7
20041218,25,40,39,44,33,17
20041218,44,27,24,10,45,20
20041215,4,13,9,30,19,22
20041215,15,1,29,34,38,31
20041211,47,32,15,21,33,49
20041211,35,26,7,38,39,14
20041208,17,21,12,49,38,43
20041208,41,15,20,43,48,34
20041204,17,42,19,23,43,8
20041204,25,45,13,7,10,8
20041201,2,21,45,29,43,32
20041201,32,35,29,27,21,47
20041127,34,33,26,15,24,43
20041127,35,5,38,25,6,26
20041124,20,11,7,9,40,33
20041124,2,44,35,49,4,14
20041120,45,47,2,24,35,6
20041120,9,27,3,30,47,43
20041117,43,4,25,24,26,27
20041117,7,41,27,8,15,26
20041113,8,48,6,9,47,20
20041113,40,28,48,45,1,39
20041110,14,28,30,46,40,33
20041110,14,12,30,17,48,10
20041106,14,47,26,4,39,19
20041106,38,4,16,7,21,13
20041103,25,30,31,44,41,49
20041103,5,44,34,42,15,40
20041030,45,25,48,49,4,23
20041030,9,19,8,30,14,34
20041027,26,6,35,2,1,44
20041027,45,23,2,38,27,24
20041023,36,26,47,48,3,22
20041023,6,37,34,45,14,39
20041020,1,12,7,35,23,17
20041020,29,6,5,38,14,32
20041016,6,16,47,15,20,36
20041016,21,34,2,44,13,28
20041013,35,2,33,48,30,14
20041013,29,10,46,18,14,15
20041009,14,26,28,4,9,16
20041009,22,26,5,7,11,1
20041006,19,1,10,48,18,34
20041006,34,43,6,37,26,36
20041002,11,6,10,47,22,30
20041002,1,42,47,29,18,35
20040929,47,27,19,40,44,33
20040929,24,1,17,39,26,16
20040925,37,20,39,36,28,15
20040925,41,49,19,15,8,38
20040922,37,11,21,10,35,19
