date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
03/05/2023,17,23,13,20,45,8
01/05/2023,15,41,33,44,5,10
29/04/2023,40,48,36,22,3,5
26/04/2023,3,18,24,11,14,10
24/04/2023,41,23,25,1,49,2
22/04/2023,12,26,48,13,35,1
19/04/2023,43,41,5,46,34,5
17/04/2023,3,18,42,13,43,9
15/04/2023,32,17,15,19,29,10
12/04/2023,18,26,10,30,15,7
10/04/2023,45,24,15,10,49,2
08/04/2023,19,35,48,3,42,10
05/04/2023,31,33,16,29,39,2
03/04/2023,49,15,39,31,46,4
01/04/2023,44,48,17,12,35,8
29/03/2023,34,1,32,14,11,9
27/03/2023,1,11,23,41,34,9
25/03/2023,3,34,29,7,11,4
22/03/2023,24,38,33,12,20,2
20/03/2023,38,19,10,26,7,8
18/03/2023,7,31,8,48,32,5
15/03/2023,37,20,15,5,17,2
13/03/2023,47,45,35,42,19,2
11/03/2023,6,34,14,33,18,6
08/03/2023,10,7,46,16,35,5
06/03/2023,24,38,41,18,5,7
04/03/2023,42,40,35,25,12,6
01/03/2023,18,39,45,14,21,8
27/02/2023,5,37,14,6,2,1
25/02/2023,34,19,3,1,43,3
22/02/2023,37,35,3,24,31,4
20/02/2023,35,43,41,22,16,7
18/02/2023,12,24,1,13,5,9
15/02/2023,20,24,5,44,28,6
13/02/2023,20,8,33,27,35,2
11/02/2023,43,9,15,47,45,9
08/02/2023,44,24,16,21,34,7
06/02/2023,32,13,5,21,6,3
04/02/2023,42,26,31,13,16,2
01/02/2023,12,48,38,35,9,5
30/01/2023,35,27,8,30,34,5
28/01/2023,15,44,5,30,45,5
25/01/2023,32,26,44,18,21,10
23/01/2023,28,6,10,35,32,9
21/01/2023,41,4,45,18,24,6
18/01/2023,7,35,48,39,11,8
16/01/2023,5,31,10,19,28,4
14/01/2023,22,36,40,13,14,9
11/01/2023,8,16,17,3,47,9
09/01/2023,38,1,48,30,20,3
07/01/2023,8,43,7,21,34,6
04/01/2023,3,5,49,38,25,10
02/01/2023,49,39,45,41,1,5
31/12/2022,35,39,16,11,23,8
28/12/2022,29,1,3,35,8,8
26/12/2022,6,23,32,49,48,4
24/12/2022,12,41,47,46,6,6
21/12/2022,11,22,15,12,21,7
19/12/2022,43,35,6,31,36,4
17/12/2022,46,27,42,23,8,3
14/12/2022,15,37,4,20,6,10
12/12/2022,46,25,47,2,35,10
10/12/2022,6,43,29,13,27,2
07/12/2022,2,12,38,15,10,5
05/12/2022,36,45,9,24,17,7
03/12/2022,32,19,34,26,27,9
30/11/2022,44,18,28,49,30,5
28/11/2022,24,46,9,2,13,6
26/11/2022,5,7,28,23,2,5
23/11/2022,46,36,45,15,19,4
21/11/2022,45,33,47,15,23,7
19/11/2022,40,24,19,1,28,8
16/11/2022,1,8,48,38,3,1
14/11/2022,28,23,34,44,14,5
12/11/2022,14,44,34,25,4,7
09/11/2022,15,2,1,41,30,9
07/11/2022,24,8,9,40,31,7
05/11/2022,40,6,38,23,32,10
02/11/2022,45,7,38,4,26,2
31/10/2022,34,25,45,44,4,7
29/10/2022,33,28,48,44,26,4
26/10/2022,45,30,4,2,23,5
24/10/2022,43,28,33,37,29,1
22/10/2022,12,2,25,35,7,10
19/10/2022,35,16,38,46,25,8
17/10/2022,38,49,20,16,40,2
